id,name,composer,effector,date,lv,lv_number,radar,s_tier,bpm,search_name,nickname
180132,極圏,cosMo VS dj TAKA,,2016-10-14,EXH,18,,5,,きょくけん,극권
180133,Quaint Echo,KLing(Aoi+Yunosuke),,2016-11-17,EXH,18,,3,,,
180134,#Endroll,"uno & D.watt
  (IOSYS TRAX)",9911,2016-11-17,EXH,18,,5,,,엔드롤
180135,Solar Storm,xi「グルーヴコースター 3リンクフィーバー」より,,2016-11-18,EXH,18,,5,,,
180136,Dreadnought,Mastermind(xi+nora2r),,2016-12-21,MXM,18,,4,,,
180137,TRICKL4SH 220,Lite Show Magic,,2016-12-21,MXM,18,,5,,,
180138,永遠に幸せになる方法、見つけました。,うたたP,,2016-12-21,MXM,18,,4,,えいえんにしあわせになるほうほう　みつけました,"영원히행복해지는방법,찾았습니다."
180139,キュリオシティ,庭師,,2016-12-28,MXM,18,,1,,きゅりおしてぃ,큐리오시티
180140,Noisy Minority,DJ Grimoire,,2016-12-28,MXM,18,,6,,,
180141,ドリームエンド・サバイバー,ぽんきち,,2017-01-05,MXM,18,,9,,どりーむえんど　さばいばー,드림엔드서바이벌
180142,準備運動,すのうまん,,2017-01-18,MXM,18,,1,,じゅんびうんどう,준비운동
180143,Fin.ArcDeaR,MisoilePunch♪ ～タケノコ添え～,,2017-02-17,EXH,18,,10,,,
180144,Make Magic,Lite Show Magic,,2017-02-17,MXM,18,,5,,,
180145,壊Rave*it!! 壊Rave*it!!,LeaF,,2017-03-03,MXM,18,,4,,こわrave,
180146,Boss Rush,USAO,,2017-03-03,MXM,18,,9,,,
180147,恋歌疾風！かるたクイーンいろは,ねこまんまチーム！,,2017-03-09,MXM,18,,9,,こいうたしっぷう　かるたくりーんいろは,
180148,Gamerz FestivaL,うさぎ愛好会(cosMo×syuri22),,2017-03-17,MXM,18,,5,,,
180149,超☆超☆光☆速☆出☆前☆最☆速!!! スピード★スター★かなで,かめりあ feat. ななひら,,2017-03-17,MXM,18,,3,,ちょうちょうこうそく　でまえさいそく　すぴーどすたー　かなで,초초광속출전최속스피드스타카나데
180150,ΩVERSOUL,BlackY,,2017-03-17,MXM,18,,1,,,오버소울
180151,Rebellio,MAX MAXIMIZER VS DJ TOTTO,,2017-03-17,MXM,18,,2,,,
180152,POLICY BREAK Medley from SOUND VOLTEX×jubeat,"United Composers from
  jubeat",,2017-03-31,MXM,18,,4,,,
180153,FLOOR INFECTION Medley from SOUND VOLTEX×jubeat,United Composers from SOUND VOLTEX,,2017-04-07,MXM,18,,4,,,플로어메들리
180154,Cepheus,しらこいし,,2017-04-13,MXM,18,,4,,,제페우스 / 세페우스
180155,The Formula,Junk,,2017-04-20,MXM,18,,10,,,
180156,We Go Down,DJ Genki feat. SHIN from HYPERNOVA With 三代,,2017-04-26,MXM,18,,5,,,
180157,The Golden Era,polysha,,2017-06-15,MXM,18,,7,,,
180158,FIRE IN MY HEART,Spacelectro,,2017-06-29,MXM,18,,8,,,
180159,雷鼓サンダービート,ARM(IOSYS) feat.ビートまりお(COOL&CREATE),,2017-06-29,MXM,18,,7,,らいこさんだーびーと,썬더비트
180160,Gorgetech,Shiron,,2017-07-14,MXM,18,,5,,,
180161,Sweet Requiem,REDALiCE & aran,,2017-07-14,MXM,18,,9,,,
180162,SACRIFICE feat. ayame,Alstroemeria Records,,2017-07-20,MXM,18,,5,,,
180163,JUNKIE FLAVOR,yaseta + Hidra-Xjeil,,2017-07-27,MXM,18,,1,,,
180164,Legendary Road,kanone,,2017-07-27,MXM,18,,2,,,
180165,PUPA,モリモリあつし,,2017-08-03,MXM,18,,3,,,
180166,Theme of Ricerca,HuΣeR feat.ゆきまめ,,2017-08-08,MXM,18,,9,,,
180167,FIN4LE～終止線の彼方へ～,カモメサノエレクトリックオーケストラ,,2017-08-10,EXH,18,,2,,しゅうしせんのかなてえ,피날레
180168,WHITEOUT,かねこちはる,,2017-08-10,EXH,18,,8,,,
180169,神獄烙桜,かゆき,,2017-08-10,MXM,18,,4,,かんごくらくおう,신옥낙앵
180170,Juggler's Maddness,Lite Show Magic,,2017-08-10,MXM,18,,5,,,
180171,ULTiMATE INFLATiON,cosMo＠暴走Genocider,,2017-08-10,MXM,18,,5,,,
180172,Mirrorwall,BlackY,,2017-08-10,MXM,18,,2,,,
180173,Concertino in Blue,佐々木博史,,2017-08-16,MXM,18,,1,,,
180174,Spirit of the Beast,ikaruga_nex fw.tcheb,,2017-08-25,MXM,18,,7,,,
180175,Grand-Guignol,モリモリあつし,,2017-08-25,MXM,18,,9,,,***
180176,のぼれ八坂坂！,ビートまりおとARM,,2017-08-31,MXM,18,,7,,のぼれやさかざか,
180177,Glitter Flatter Scatter,Project B-,,2017-09-07,MXM,18,,6,,,
180178,Ghost Trigger,u-z feat.CHERICa,,2017-09-14,MXM,18,,7,,,
180179,Doppelganger,LeaF,,2017-09-14,MXM,18,,2,,,
180180,Scarlet Lance,MASAKI（ZUNTATA）「グルーヴコースター」より,,2017-10-13,MXM,18,,4,,,
180181,怒槌,光吉猛修「CHUNITHM」より,,2017-10-13,MXM,18,,3,,いかずち,
180182,セイクリッド ルイン,Drop＆祇羽 feat. 葉月ゆら「太鼓の達人」より,,2017-10-13,MXM,18,,8,,せいくりっどるいん,세이크리드루인
180183,HP:1,Verdammt,,2017-10-26,MXM,18,,4,,,딸피
180184,GERBERA,"BEMANI Sound Team ""TAG""",,2017-11-02,MXM,18,,2,,,
